artist	artist_{tone}
astronaut	astronaut_{tone}
chef	chef_{tone}
construction_worker	construction_worker_{tone}
detective	detective_{tone}
factory_worker	factory_worker_{tone}
farmer	farmer_{tone}
firefighter	firefighter_{tone}
health_worker	health_worker_{tone}
judge	judge_{tone}
mechanic	mechanic_{tone}
office_worker	office_worker_{tone}
pilot	pilot_{tone}
scientist	scientist_{tone}
singer	singer_{tone}
student	student_{tone}
teacher	teacher_{tone}
technologist	technologist_{tone}
ear	ear_{tone}
long_pointed_ear	long_pointed_ear_{tone}
pointed_ear	pointed_ear_{tone}
back_of_hand	back_of_hand_{morph}_{tone}
call_me	call_me_{morph}_{tone}
clap	clap_{morph}_{tone}
crossed_fingers	crossed_fingers_{morph}_{tone}
fist	fist_{morph}_{tone}
fist_facing_left	fist_facing_left_{morph}_{tone}
fist_facing_right	fist_facing_right_{morph}_{tone}
hand	hand_{morph}_{tone}
hand_splayed	hand_splayed_{morph}_{tone}
handshake	handshake_{morph}_{tone}
index_finger	index_finger_{morph}_{tone}
metal	metal_{morph}_{tone}
middle_finger	middle_finger_{morph}_{tone}
muscle	muscle_{morph}_{tone}
nail_polish	nail_polish_{morph}_{tone}
ok_hand	ok_hand_{morph}_{tone}
open_hands	open_hands_{morph}_{tone}
palms_up	palms_up_{morph}_{tone}
pinched_fingers	pinched_fingers_{morph}_{tone}
point_down	point_down_{morph}_{tone}
point_left	point_left_{morph}_{tone}
point_right	point_right_{morph}_{tone}
point_up	point_up_{morph}_{tone}
pray	pray_{morph}_{tone}
punch	punch_{morph}_{tone}
raised_hands	raised_hands_{morph}_{tone}
selfie	selfie_{morph}_{tone}
thumbs_down	thumbs_down_{morph}_{tone}
thumbs_up	thumbs_up_{morph}_{tone}
v	v_{morph}_{tone}
vulcan	vulcan_{morph}_{tone}
wave	wave_{morph}_{tone}
writing_hand	writing_hand_{morph}_{tone}
arms_in_the_air	arms_in_the_air_{tone}
bow	bow_{tone}
facepalm	facepalm_{tone}
massage	massage_{tone}
no_good	no_good_{tone}
ok_gesture	ok_gesture_{tone}
person_frowning	person_frowning_{tone}
person_pouting	person_pouting_{tone}
raising_hand	raising_hand_{tone}
shrug	shrug_{tone}
tipping_hand	tipping_hand_{tone}
adult	adult_{tone}
color_modifier	color_modifier_{tone}
