t_(c) t_(k) p_(kpa) satliq_v evap_v satvap_v satliq_u evap_u satvap_u satliq_h evap_h satvap_h satliq_s evap_s satvap_s
0 273.15 0.611 1.000 206300. 206300. -0.04 2375.7 2375.6 -0.04 2501.7 2501.6 0.0000 9.1578 9.1578
0.01 273.16 0.611 1.000 206200. 206200. 0.00 2375.6 2375.6 0.00 2501.6 2501.6 0.0000 9.1575 9.1575
1 274.15 0.657 1.000 192600. 192600. 4.17 2372.7 2376.9 4.17 2499.2 2503.4 0.0153 9.1158 9.1311
2 275.15 0.705 1.000 179900. 179900. 8.39 2369.9 2378.3 8.39 2496.8 2505.2 0.0306 9.0741 9.1047
3 276.15 0.757 1.000 168200. 168200. 12.60 2367.1 2379.7 12.60 2494.5 2507.1 0.0459 9.0326 9.0785
4 277.15 0.813 1.000 157300. 157300. 16.80 2364.3 2381.1 16.80 2492.1 2508.9 0.0611 8.9915 9.0526
5 278.15 0.872 1.000 147200. 147200. 21.01 2361.4 2382.4 21.01 2489.7 2510.7 0.0762 8.9507 9.0269
6 279.15 0.935 1.000 137800. 137800. 25.21 2358.6 2383.8 25.21 2487.4 2512.6 0.0913 8.9102 9.0014
7 280.15 1.001 1.000 129100. 129100. 29.41 2355.8 2385.2 29.41 2485.0 2514.4 0.1063 8.8699 8.9762
8 281.15 1.072 1.000 121000. 121000. 33.60 2353.0 2386.6 33.60 2482.6 2516.2 0.1213 8.8300 8.9513
9 282.15 1.147 1.000 113400. 113400. 37.80 2350.1 2387.9 37.80 2480.3 2518.1 0.1362 8.7903 8.9265
10 283.15 1.227 1.000 106400. 106400. 41.99 2347.3 2389.3 41.99 2477.9 2519.9 0.1510 8.7510 8.9020
11 284.15 1.312 1.000 99910. 99910. 46.18 2344.5 2390.7 46.19 2475.5 2521.7 0.1658 8.7119 8.8776
12 285.15 1.401 1.000 93830. 93840. 50.38 2341.7 2392.1 50.38 2473.2 2523.6 0.1805 8.6731 8.8536
13 286.15 1.497 1.001 88180. 88180. 54.56 2338.9 2393.4 54.57 2470.8 2525.4 0.1952 8.6345 8.8297
14 287.15 1.597 1.001 82900. 82900. 58.75 2336.1 2394.8 58.75 2468.5 2527.2 0.2098 8.5963 8.8060
15 288.15 1.704 1.001 77980. 77980. 62.94 2333.2 2396.2 62.94 2466.1 2529.1 0.2243 8.5582 8.7826
16 289.15 1.817 1.001 73380. 73380. 67.12 2330.4 2397.6 67.13 2463.8 2530.9 0.2388 8.5205 8.7593
17 290.15 1.936 1.001 69090. 69090. 71.31 2327.6 2398.9 71.31 2461.4 2532.7 0.2533 8.4830 8.7363
18 291.15 2.062 1.001 65090. 65090. 75.49 2324.8 2400.3 75.50 2459.0 2534.5 0.2677 8.4458 8.7135
19 292.15 2.196 1.002 61340. 61340. 79.68 2322.0 2401.7 79.68 2456.7 2536.4 0.2820 8.4088 8.6908
20 293.15 2.337 1.002 57840. 57840. 83.86 2319.2 2403.0 83.86 2454.3 2538.2 0.2963 8.3721 8.6684
21 294.15 2.485 1.002 54560. 54560. 88.04 2316.4 2404.4 88.04 2452.0 2540.0 0.3105 8.3356 8.6462
22 295.15 2.642 1.002 51490. 51490. 92.22 2313.6 2405.8 92.23 2449.6 2541.8 0.3247 8.2994 8.6241
23 296.15 2.808 1.002 48620. 48620. 96.40 2310.7 2407.1 96.41 2447.2 2543.6 0.3389 8.2634 8.6023
24 297.15 2.982 1.003 45920. 45930. 100.6 2307.9 2408.5 100.6 2444.9 2545.5 0.3530 8.2277 8.5806
25 298.15 3.166 1.003 43400. 43400. 104.8 2305.1 2409.9 104.8 2442.5 2547.3 0.3670 8.1922 8.5592
26 299.15 3.360 1.003 41030. 41030. 108.9 2302.3 2411.2 108.9 2440.2 2549.1 0.3810 8.1569 8.5379
27 300.15 3.564 1.003 38810. 38810. 113.1 2299.5 2412.6 113.1 2437.8 2550.9 0.3949 8.1218 8.5168
28 301.15 3.778 1.004 36730. 36730. 117.3 2296.7 2414.0 117.3 2435.4 2552.7 0.4088 8.0870 8.4959
29 302.15 4.004 1.004 34770. 34770. 121.5 2293.8 2415.3 121.5 2433.1 2554.5 0.4227 8.0524 8.4751
30 303.15 4.241 1.004 32930. 32930. 125.7 2291.0 2416.7 125.7 2430.7 2556.4 0.4365 8.0180 8.4546
31 304.15 4.491 1.005 31200. 31200. 129.8 2288.2 2418.0 129.8 2428.3 2558.2 0.4503 7.9839 8.4342
32 305.15 4.753 1.005 29570. 29570. 134.0 2285.4 2419.4 134.0 2425.9 2560.0 0.4640 7.9500 8.4140
33 306.15 5.029 1.005 28040. 28040. 138.2 2282.6 2420.8 138.2 2423.6 2561.8 0.4777 7.9163 8.3939
34 307.15 5.318 1.006 26600. 26600. 142.4 2279.7 2422.1 142.4 2421.2 2563.6 0.4913 7.8828 8.3740
35 308.15 5.622 1.006 25240. 25240. 146.6 2276.9 2423.5 146.6 2418.8 2565.4 0.5049 7.8495 8.3543
36 309.15 5.940 1.006 23970. 23970. 150.7 2274.1 2424.8 150.7 2416.4 2567.2 0.5184 7.8164 8.3348
37 310.15 6.274 1.007 22760. 22760. 154.9 2271.3 2426.2 154.9 2414.1 2569.0 0.5319 7.7835 8.3154
38 311.15 6.624 1.007 21630. 21630. 159.1 2268.4 2427.5 159.1 2411.7 2570.8 0.5453 7.7509 8.2962
39 312.15 6.991 1.007 20560. 20560. 163.3 2265.6 2428.9 163.3 2409.3 2572.6 0.5588 7.7184 8.2772
40 313.15 7.375 1.008 19550. 19550. 167.4 2262.8 2430.2 167.5 2406.9 2574.4 0.5721 7.6861 8.2583
41 314.15 7.777 1.008 18590. 18590. 171.6 2259.9 2431.6 171.6 2404.5 2576.2 0.5854 7.6541 8.2395
42 315.15 8.198 1.009 17690. 17690. 175.8 2257.1 2432.9 175.8 2402.1 2577.9 0.5987 7.6222 8.2209
43 316.15 8.639 1.009 16840. 16840. 180.0 2254.3 2434.2 180.0 2399.7 2579.7 0.6120 7.5905 8.2025
44 317.15 9.100 1.009 16040. 16040. 184.2 2251.4 2435.6 184.2 2397.3 2581.5 0.6252 7.5590 8.1842
45 318.15 9.582 1.010 15280. 15280. 188.3 2248.6 2436.9 188.4 2394.9 2583.3 0.6383 7.5277 8.1661
46 319.15 10.09 1.010 14560. 14560. 192.5 2245.7 2438.3 192.5 2392.5 2585.1 0.6514 7.4966 8.1481
47 320.15 10.61 1.011 13880. 13880. 196.7 2242.9 2439.6 196.7 2390.1 2586.9 0.6645 7.4657 8.1302
48 321.15 11.16 1.011 13230. 13230. 200.9 2240.0 2440.9 200.9 2387.7 2588.6 0.6776 7.4350 8.1125
49 322.15 11.74 1.012 12620. 12620. 205.1 2237.2 2442.3 205.1 2385.3 2590.4 0.6906 7.4044 8.0950
50 323.15 12.34 1.012 12040. 12050. 209.2 2234.3 2443.6 209.3 2382.9 2592.2 0.7035 7.3741 8.0776
51 324.15 12.96 1.013 11500. 11500. 213.4 2231.5 2444.9 213.4 2380.5 2593.9 0.7164 7.3439 8.0603
52 325.15 13.61 1.013 10980. 10980. 217.6 2228.6 2446.2 217.6 2378.1 2595.7 0.7293 7.3138 8.0432
53 326.15 14.29 1.014 10490. 10490. 221.8 2225.8 2447.6 221.8 2375.7 2597.5 0.7422 7.2840 8.0262
54 327.15 15.00 1.014 10020. 10020. 226.0 2222.9 2448.9 226.0 2373.2 2599.2 0.7550 7.2543 8.0093
55 328.15 15.74 1.015 9577.9 9578.9 230.2 2220.0 2450.2 230.2 2370.8 2601.0 0.7677 7.2248 7.9925
56 329.15 16.51 1.015 9157.7 9158.7 234.3 2217.2 2451.5 234.4 2368.4 2602.7 0.7804 7.1955 7.9759
57 330.15 17.31 1.016 8758.7 8759.8 238.5 2214.3 2452.8 238.5 2365.9 2604.5 0.7931 7.1663 7.9595
58 331.15 18.15 1.016 8379.8 8380.8 242.7 2211.4 2454.1 242.7 2363.5 2606.2 0.8058 7.1373 7.9431
59 332.15 19.02 1.017 8019.7 8020.8 246.9 2208.6 2455.4 246.9 2361.1 2608.0 0.8184 7.1085 7.9269
60 333.15 19.92 1.017 7677.5 7678.5 251.1 2205.7 2456.8 251.1 2358.6 2609.7 0.8310 7.0798 7.9108
61 334.15 20.86 1.018 7352.1 7353.2 255.3 2202.8 2458.1 255.3 2356.2 2611.4 0.8435 7.0513 7.8948
62 335.15 21.84 1.018 7042.7 7043.7 259.4 2199.9 2459.4 259.5 2353.7 2613.2 0.8560 7.0230 7.8790
63 336.15 22.86 1.019 6748.2 6749.3 263.6 2197.0 2460.7 263.6 2351.3 2614.9 0.8685 6.9948 7.8633
64 337.15 23.91 1.019 6468.0 6469.0 267.8 2194.1 2462.0 267.8 2348.8 2616.6 0.8809 6.9667 7.8477
65 338.15 25.01 1.020 6201.3 6202.3 272.0 2191.2 2463.2 272.0 2346.3 2618.4 0.8933 6.9388 7.8322
