# idA idB nx ny nz Fn uN cellDistX cellDistY cellDistZ 
123 95 0.291235 0.928163 -0.231723 -0.00996557 -5.93129e-07 0 0 0 
123 156 0.279276 -0.153033 -0.947938 -0.00302564 -2.84215e-07 0 0 0 
187 70 0.843327 -0.48329 -0.23501 -0.00408388 -3.3115e-07 0 0 0 
86 62 0.314005 -0.881838 -0.351799 -0.00997341 -5.85139e-07 0 0 0 
86 157 0.601575 -0.124481 -0.789058 -0.00283227 -2.52354e-07 0 0 0 
86 4 0.869479 0.487683 0.0785602 -0.0258712 -1.64762e-06 0 0 0 
164 202 0.182793 0.20671 0.961175 -0.0124182 -8.43407e-07 0 0 0 
164 53 0.833119 0.0786875 -0.547467 -0.00870234 -6.25362e-07 0 0 0 
173 13 0.296534 0.71751 -0.630276 -0.00103852 -8.04626e-08 0 0 0 
56 13 0.237386 -0.871903 -0.42829 -0.00574695 -4.50688e-07 1 -1 0 
56 189 0.742644 0.48218 0.46474 -0.00187361 -1.37042e-07 1 0 0 
198 47 0.524621 -0.789191 0.319298 -0.00463544 -3.67591e-07 0 0 0 
198 124 0.796542 0.545909 0.259814 -0.0103025 -8.01555e-07 0 0 0 
198 9 0.820257 -0.231546 -0.523034 -0.00201263 -1.51069e-07 0 0 0 
75 14 -0.060233 0.914134 -0.400912 -0.00664366 -5.81848e-07 0 0 0 
75 40 0.320475 -0.880825 -0.348486 -0.00985184 -6.49442e-07 0 0 0 
75 53 0.647077 0.399435 0.649418 -0.00971247 -7.23251e-07 0 0 0 
75 145 0.696214 0.414451 -0.586102 -0.0132201 -1.07916e-06 0 0 0 
202 47 0.318958 0.914137 0.25024 -0.00570237 -3.69141e-07 0 0 0 
202 79 0.447255 -0.687193 0.572476 -0.0195654 -1.31575e-06 0 0 0 
14 62 0.329714 0.474339 0.816267 -0.0079945 -7.29896e-07 0 0 0 
100 73 0.351637 -0.915616 -0.194933 -0.00527003 -2.99977e-07 0 0 0 
100 93 0.355472 0.735924 -0.576242 -0.00114508 -7.53975e-08 0 0 0 
55 98 0.445299 0.894929 -0.0284718 -0.0076572 -6.89178e-07 0 0 1 
55 180 0.702751 -0.446772 0.553658 -0.00164496 -1.2863e-07 0 0 1 
165 104 0.998643 0.0322009 -0.0409183 -0.0123122 -1.01063e-06 0 0 0 
95 73 0.3688 0.587128 -0.720602 -0.0122036 -7.39545e-07 0 0 0 
95 181 0.623053 -0.422049 -0.658544 -0.0112523 -8.1549e-07 0 0 0 
13 195 0.787699 0.57693 0.216058 -0.00084534 -6.5965e-08 0 1 0 
156 128 0.552184 -0.591075 0.587982 -0.0043407 -3.82718e-07 0 0 0 
46 18 0.638021 0.423991 -0.642776 -0.00936069 -7.68892e-07 0 0 0 
62 53 0.362412 -0.907602 0.211934 -0.0153831 -1.19097e-06 0 0 0 
62 180 0.51247 -0.00306663 -0.8587 -0.0167024 -1.36025e-06 0 0 0 
62 10 0.90469 0.155382 0.396728 -0.0135372 -1.14877e-06 0 0 0 
