# buffer coefficients for density (dci) and viscosity (vci) as extracted from Ultrascan3 ( http://www.ultrascan3.uthscsa.edu )
# GNU Lesser General Public License, version 3.
# Copyright notice and license information UltraScan Project http://www.ultrascan3.uthscsa.edu/license.php
# The UltraScan software is copyright protected by international laws.
# The copyright is owned by Borries Demeler, PhD (1989-present) and The University of Texas Health Science Center
# at San Antonio (1997-present). All rights reserved.
#
# name dc0 dc1 dc2 dc3 dc4 dc5 vc0 vc1 vc2 vc3 vc4 vc5 unit range
AceticAcid 0.99825 -0.30226 0.88890 -0.28098 0.08607 -0.57300 0.99997 1.78527 11.71639 2.37500 -0.97284 0.00000 mM 0-11.35_M
Acetone 0.99797 1.14200 -0.94445 -0.02865 6.56450 -201.00000 1.01832 -95.42000 25.01600 -31.73000 30.00000 0.00000 mM 0-1.697_M
AmmoniumAcetate 0.99822 18.05000 0.43700 2.45000 0.00000 0.00000 1.00142 265.45000 -6.22500 37.27000 0.00000 0.00000 mM 0-1_M
AmmoniumChloride 0.99824 -0.18982 1.73873 -0.92386 1.03806 -7.39899 1.00002 -4.07082 -2.04508 3.32166 2.22852 0.00000 mM 0-4.788_M
AmmoniumHydroxide 0.99823 0.00000 -0.75626 0.05645 0.00566 -0.05782 1.00034 0.00000 2.17544 0.96344 -0.76054 0.00000 mM 0-13.802_M
AmmoniumSulfate 0.99822 0.00000 7.87196 -6.46330 6.19284 -29.24905 0.99864 0.00000 17.77711 25.79842 100.05050 0.00000 mM 0-3.716_M
BariumChloride 0.99821 0.50414 17.99600 -3.42690 12.89500 -531.23000 1.00031 14.91000 19.46300 43.90000 143.00000 0.00000 mM 0-1.6_M
CadmiumChloride 0.99837 -5.10726 16.26925 -4.81777 7.09219 -50.01997 1.00054 0.00000 24.13067 52.14775 230.58500 0.00000 mM 0-2.367_M
CadmiumSulfate 0.99794 7.86084 17.75644 16.41838 -108.49390 1884.34500 1.00531 -112.33640 84.95875 -61.84851 1700.26200 0.00000 mM 0-2.531_M
CalciumChloride 0.99816 1.67525 8.78941 -2.37531 1.31831 -7.86843 1.00119 -32.31600 34.63914 -26.74770 373.85400 0.00000 mM 0-2.902_M
CesiumChloride 0.99824 0.00000 12.68641 1.27445 -11.95400 258.86600 1.00116 -19.41040 -4.07863 11.54890 -21.77400 0.00000 mM 0-1.916_M
CitricAcid 0.99817 0.00000 7.84403 -1.86940 14.69312 -496.34540 0.99972 0.00000 43.29739 104.85900 811.61870 0.00000 mM 0-1.772_M
CobaltousChloride 0.99798 1.47100 11.40900 -2.91650 12.49600 -0.03939 0.99200 71.01000 26.93800 116.01000 91.00000 0.00000 mM 0-1.856_M
Creatinine 0.99908 -6.55110 4.18240 -21.00700 252.35000 -10365.00000 1.00150 -7.78000 19.06600 411.54000 -4066.80000 0.00000 mM 0-721_mM
CupricSulfate 0.99827 -0.64184 16.59200 -14.69100 33.73500 0.04169 1.02133 -193.07000 100.42000 -258.33000 3007.00000 0.00000 mM 0-1.36_M
EdtaDisodium 0.99824 0.00000 17.82558 -16.33459 0.00000 0.00000 1.00013 0.00000 98.51000 0.00000 21831.00000 0.00000 mM 0-184_mM
Ethanol 0.99818 0.73133 -1.01406 1.26963 -1.68056 5.42740 0.99491 77.68270 7.86154 62.88875 -61.69317 0.00000 mM 0-4.613_M
EthyleneGlycol 0.99822 0.06185 0.74908 0.14633 -0.15139 0.11626 1.02650 -115.81000 24.79100 -4.44360 20.07900 0.00000 mM 0-10.406_M
FerricChloride 0.99900 -3.32050 13.93000 -11.11500 27.99100 -307.16000 1.11373 -705.03000 171.62500 -410.68000 2078.10000 0.00000 mM 0-3.496_M
FormicAcid 0.99873 -1.81160 1.23500 -0.21354 0.00309 0.15330 0.99787 10.30000 2.61700 -0.66707 0.39138 0.00000 mM 0-17.62_M
Fructose 0.99822 0.00000 7.04741 -0.92356 0.69111 -8.97227 1.00038 0.00000 43.67090 104.02700 916.47900 0.00000 mM 0-1.6_M
Glucose 0.99821 0.00000 6.82008 0.19704 -4.13821 57.37880 1.00014 -67.69800 65.23700 -115.74700 2080.65500 0.00000 mM 0-1.007_M
Glycerol 0.99824 0.00000 2.08235 0.14172 -0.26453 0.54073 1.00176 -37.58040 27.13788 7.64333 112.08260 0.00000 mM 0-13.694_M
Glycerol% 0.99823 0.03086 0.22490 0.00633 0.00003 0.00004 1.00180 -8.24760 2.67300 0.31090 0.11430 0.12230 %weight/weight 0-32%_by_weight/weight
GuanidineHydrochloride 0.99823 0.00000 2.58870 -0.36684 0.10132 -0.20455 1.00053 -47.78951 9.78462 -13.52025 29.72242 0.00000 mM 0-7.005_M
HydrochloricAcid 0.99824 0.00000 1.79077 -0.29517 0.16845 -0.77171 1.00061 -10.08411 6.04543 -0.35769 2.07153 0.00000 mM 0-13.137_M
Inulin 0.99867 -25.84300 208.55230 0.00000 0.00000 0.00000 1.01057 0.00000 2177.99000 841199.00000 0.00000 0.00000 mM 0-20_mM
LacticAcid 0.99940 -5.90180 2.46540 -0.79000 0.45895 -1.70130 1.00482 -26.28000 26.37500 7.46000 62.10000 0.00000 mM 0-10.523_M
Lactose 0.99854 -3.99330 14.40200 15.79500 -1454.40000 185350.00000 0.98715 120.60000 56.53600 1613.85000 -2643.20000 0.00000 mM 0-565_mM
LanthanumNitrate 1.00230 -31.90900 31.95500 -50.50000 200.02000 -3482.80000 1.06922 -503.82000 133.43700 -586.23000 4068.70000 0.00000 mM 0-2.043_M
LeadNitrate 0.99848 -1.47500 28.36100 -0.33409 -35.33300 694.37000 1.00827 -61.35000 26.06700 25.09000 331.40000 0.00000 mM 0-1.432_M
LithiumChloride 0.99820 0.32410 2.44740 -0.75425 0.69894 -2.54060 1.06331 -225.64000 33.70100 -33.17000 49.20000 0.00000 mM 0-8.343_M
MagnesiumChloride 0.99834 -2.52553 8.09905 -4.67138 7.16941 -51.73290 0.99970 7.40628 39.49600 35.39141 441.97200 0.00000 mM 0-2.184_M
MagnesiumSulfate 0.99757 4.30570 11.48800 -4.45180 1.44470 0.23960 1.07097 -541.45000 162.02200 -623.45000 3770.70000 0.00000 mM 0-2.799_M
Maltose 0.99626 17.53500 10.05200 23.28300 -108.96000 1730.80000 1.02490 -277.99000 169.59000 -692.77000 16953.00000 0.00000 mM 0-770_mM
ManganousSulfate 0.99738 5.92240 13.51600 2.65200 -38.66000 930.13000 0.95546 291.75000 13.35500 534.93000 -15.35500 0.00000 mM 0-1.616_M
Mannitol 0.99825 -0.78160 6.70635 -10.13540 74.04750 0.00000 0.99945 51.50960 31.61080 480.64800 -1093.27600 0.00000 mM 0-867_mM
Methanol 0.99819 0.33998 -0.61622 0.23091 -0.17744 0.21260 1.00162 0.00000 10.35988 1.42809 -3.45430 0.00000 mM 0-19.901_M
NickelSulfate 0.99463 40.58500 3.82290 405.58000 -9318.80000 791150.00000 0.99667 50.52000 49.38700 542.37000 -2099.10000 0.00000 mM 0-412_mM
NitricAcid 0.99812 0.51771 3.35830 -0.26251 0.18150 -2.87100 0.99847 8.53000 0.43000 9.32000 -1.65908 0.00000 mM 0-7.913_M
OxalicAcid 0.99550 17.69700 0.98754 45.77000 -509.55000 20740.00000 1.00379 -22.49000 22.54800 -37.03000 148.60000 0.00000 mM 0-920_mM
PhosphoricAcid 0.99815 2.34959 4.85108 0.47553 -0.78861 0.00000 0.99944 -18.23040 26.88500 21.88770 70.35450 0.00000 mM 0-5.117_M
PotassiumBicarbonate 0.99815 0.00000 6.62233 -4.52263 14.21306 -177.00000 0.99995 8.59665 10.17104 22.78189 7.24369 0.00000 mM 0-2.801_M
PotassiumBiphthalate 0.99838 0.70821 7.73190 87.98400 -2443.50000 224850.00000 1.00433 -30.57000 51.72200 -13.78000 1660.00000 0.00000 mM 0-405_mM
PotassiumBromide 0.99815 0.46447 8.45430 -1.26340 2.01810 -17.79200 1.00215 -7.99000 -4.49000 9.55000 2.69668 0.00000 mM 0-4.62_M
PotassiumCarbonate 0.99732 5.95230 11.48400 -4.75410 2.03380 1.60670 1.00502 -27.95000 34.01000 5.11000 262.70000 0.00000 mM 0-2.584_M
