# Category, Subcategory, ROI, Name, lat, lon_e, size_km, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), Special Requirements
# 1, 0, #FECCCC, Potential Cryovolcanic Regions, ---, ---, ---, ---, ---, ---, ---, ---, ---, ---
# 2, 0, #699BFC, Polar Deposits, ---, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterise the local environment and its interaction with the Jovian magnetosphere – comparison with Ganymede (CA/GC), Illumination conditions in polar regions (>±40°)
2, 0, 1, Keelut, -77.1, 270.5, 60, -81, -72, 260, 278, Degraded impact crater with a central pit and bright deposits on the crater floor, Investigate formation of polar deposits in comparison to Ganymede at a similar location, Incidence and phase angle < 70°
2, 0, 2, Fulla, 74, 251.9, 900, 53, 85, 229, 263.5, Portion of the northern polar region including impact crater Fulla (~60 km), Investigate formation of polar deposits in comparison to Ganymede at a similar location, Incidence and phase angle < 70°
2, 0, 3, Sköll, 75, 60, 900, 53, 85, 42, 77, Portion of the northern polar region with impact crater Sköll in the SE (~60 km), Investigate formation of polar deposits in comparison to Ganymede at a similar location, Incidence and phase angle < 70°
2, 0, 4, None, -60.2, 256.5, 900, -85, -53, 229, 263.5, Poorly imaged region of the southern polar cap including a central pit crater with the crater floor possibly covered by polar frost, Investigate formation of polar deposits in comparison to Ganymede at a similar location, Incidence and phase angle < 70°
2, 0, 5, None, 68.4, 331.8, 600, 61, 76, 322, 345, Unnamed impact crater with bright deposits of unkown origin near crater Hepti and Gipul Catena, Investigate formation of polar deposits in comparison to Ganymede at a similar location, Incidence and phase angle < 70°
2, 0, 6, None, -62.3, 127.1, 800, -78, -54, 118, 148, Group of unnamed bright impact craters, Investigate formation of polar deposits in comparison to Ganymede at a similar location, Incidence and phase angle < 70°
2, 0, 7, None, -75, 60, 900, -85, -53, 42, 77, Southern polar region with possible polar deposits, Investigate formation of polar deposits in comparison to Ganymede at a similar location, Incidence and phase angle < 70°
# 3, 0, #9CFD6F, Dark Ray. Floor. Halo Craters, ---, ---, ---, ---, ---, ---, ---, High concentrations of dark material related to fresh impact features, Characterise the outer shell/ Determine the composition of the non-ice material (CA/ CB), Dark ray craters are usually very small – high spatial resolution required
3, 0, 1, Jalkr, -38.4, 277.5, 93, -42, -35, 273, 281, Degraded dome crater superimposed by a fresh crater and its ejecta deposits characterized by undefined albedo differences, Investigate potential dark ejecta in comparison to the ancient terrain and dark ejecta on Ganymede, Dark ray craters are usually very small – high spatial resolution required
3, 0, 2, Yuryung, -54.7, 274.5, 130, -57, -52, 271, 278, Undefined albedo differences on the crater floor, Investigate potential dark ejecta in comparison to the ancient terrain and dark ejecta on Ganymede, Dark ray craters are usually very small – high spatial resolution required
3, 0, 3, Biflindi, -53.5, 286.1, 105, -56, -50, 282.5, 289.5, Dome crater with dark deposits along the crater wall, Investigate potential dark ejecta in comparison to the ancient terrain and dark ejecta on Ganymede, Dark ray craters are usually very small – high spatial resolution required
