name molar_mass acentric tc/k pc/bar zc vc_cm3*mol-1 tn/k
methane 16.043 0.012 190.6 45.99 0.286 98.6 111.4
ethane 30.070 0.100 305.3 48.72 0.279 145.5 184.6
propane 44.097 0.152 369.8 42.48 0.276 200.0 231.1
n_butane 58.123 0.200 425.1 37.96 0.274 255. 272.7
n_pentane 72.150 0.252 469.7 33.70 0.270 313. 309.2
n_hexane 86.177 0.301 507.6 30.25 0.266 371. 341.9
n_heptane 100.204 0.350 540.2 27.40 0.261 428. 371.6
n_octane 114.231 0.400 568.7 24.90 0.256 486. 398.8
n_nonane 128.258 0.444 594.6 22.90 0.252 544. 424.0
n_decane 142.285 0.492 617.7 21.10 0.247 600. 447.3
iso_butane 58.123 0.181 408.1 36.48 0.282 262.7 261.4
iso_octane 114.231 0.302 544.0 25.68 0.266 468. 372.4
cyclopentane 70.134 0.196 511.8 45.02 0.273 258. 322.4
cyclohexane 84.161 0.210 553.6 40.73 0.273 308. 353.9
methylcyclopentane 84.161 0.230 532.8 37.85 0.272 319. 345.0
methylcyclohexane 98.188 0.235 572.2 34.71 0.269 368. 374.1
ethylene 28.054 0.087 282.3 50.40 0.281 131. 169.4
propylene 42.081 0.140 365.6 46.65 0.289 188.4 225.5
1_butene 56.108 0.191 420.0 40.43 0.277 239.3 266.9
cis-2_butene 56.108 0.205 435.6 42.43 0.273 233.8 276.9
trans-2_butene 56.108 0.218 428.6 41.00 0.275 237.7 274.0
1_hexene 84.161 0.280 504.0 31.40 0.265 354. 336.3
isobutylene 56.108 0.194 417.9 40.00 0.275 238.9 266.3
1,3_butadiene 54.092 0.190 425.2 42.77 0.267 220.4 268.7
cyclohexene 82.145 0.212 560.4 43.50 0.272 291. 356.1
acetylene 26.038 0.187 308.3 61.39 0.271 113. 189.4
benzene 78.114 0.210 562.2 48.98 0.271 259. 353.2
toluene 92.141 0.262 591.8 41.06 0.264 316. 383.8
ethylbenzene 106.167 0.303 617.2 36.06 0.263 374. 409.4
cumene 120.194 0.326 631.1 32.09 0.261 427. 425.6
o_xylene 106.167 0.310 630.3 37.34 0.263 369. 417.6
m_xylene 106.167 0.326 617.1 35.36 0.259 376. 412.3
p_xylene 106.167 0.322 616.2 35.11 0.260 379. 411.5
styrene 104.152 0.297 636.0 38.40 0.256 352. 418.3
naphthalene 128.174 0.302 748.4 40.51 0.269 413. 491.2
biphenyl 154.211 0.365 789.3 38.50 0.295 502. 528.2
formaldehyde 30.026 0.282 408.0 65.90 0.223 115. 254.1
acetaldehyde 44.053 0.291 466.0 55.50 0.221 154. 294.0
methyl_acetate 74.079 0.331 506.6 47.50 0.257 228. 330.1
ethyl_acetate 88.106 0.366 523.3 38.80 0.255 286. 350.2
acetone 58.080 0.307 508.2 47.01 0.233 209. 329.4
methyl_ethyl_ketone 72.107 0.323 535.5 41.50 0.249 267. 352.8
diethyl_ether 74.123 0.281 466.7 36.40 0.263 280. 307.6
methyl_t_butyl_ether 88.150 0.266 497.1 34.30 0.273 329. 328.4
methanol 32.042 0.564 512.6 80.97 0.224 118. 337.9
ethanol 46.069 0.645 513.9 61.48 0.240 167. 351.4
1_propanol 60.096 0.622 536.8 51.75 0.254 219. 370.4
1_butanol 74.123 0.594 563.1 44.23 0.260 275. 390.8
1_hexanol 102.177 0.579 611.4 35.10 0.263 381. 430.6
2_propanol 60.096 0.668 508.3 47.62 0.248 220. 355.4
phenol 94.113 0.444 694.3 61.30 0.243 229. 455.0
ethylene_glycol 62.068 0.487 719.7 77.00 0.246 191.0 470.5
acetic_acid 60.053 0.467 592.0 57.86 0.211 179.7 391.1
n_butyric_acid 88.106 0.681 615.7 40.64 0.232 291.7 436.4
benzoic_acid 122.123 0.603 751.0 44.70 0.246 344. 522.4
acetonitrile 41.053 0.338 545.5 48.30 0.184 173. 354.8
methylamine 31.057 0.281 430.1 74.60 0.321 154. 266.8
ethylamine 45.084 0.285 456.2 56.20 0.307 207. 289.7
nitromethane 61.040 0.348 588.2 63.10 0.223 173. 374.4
carbon_tetrachloride 153.822 0.193 556.4 45.60 0.272 276. 349.8
chloroform 119.377 0.222 536.4 54.72 0.293 239. 334.3
dichloromethane 84.932 0.199 510.0 60.80 0.265 185. 312.9
methyl_chloride 50.488 0.153 416.3 66.80 0.276 143. 249.1
ethyl_chloride 64.514 0.190 460.4 52.70 0.275 200. 285.4
chlorobenzene 112.558 0.250 632.4 45.20 0.265 308. 404.9
tetrafluoroethane 102.030 0.327 374.2 40.60 0.258 198.0 247.1
argon 39.948 0.000 150.9 48.98 0.291 74.6 87.3
krypton 83.800 0.000 209.4 55.02 0.288 91.2 119.8
xenon 131.30 0.000 289.7 58.40 0.286 118.0 165.0
helium_4 4.003 -0.390 5.2 2.28 0.302 57.3 4.2
hydrogen 2.016 -0.216 33.19 13.13 0.305 64.1 20.4
oxygen 31.999 0.022 154.6 50.43 0.288 73.4 90.2
nitrogen 28.014 0.038 126.2 34.00 0.289 89.2 77.3
air† 28.851 0.035 132.2 37.45 0.289 84.8
chlorine 70.905 0.069 417.2 77.10 0.265 124. 239.1
carbon_monoxide 28.010 0.048 132.9 34.99 0.299 93.4 81.7
carbon_dioxide 44.010 0.224 304.2 73.83 0.274 94.0
carbon_disulfide 76.143 0.111 552.0 79.00 0.275 160. 319.4
hydrogen_sulfide 34.082 0.094 373.5 89.63 0.284 98.5 212.8
sulfur_dioxide 64.065 0.245 430.8 78.84 0.269 122. 263.1
sulfur_trioxide 80.064 0.424 490.9 82.10 0.255 127. 317.9
nitric_oxide 30.006 0.583 180.2 64.80 0.251 58.0 121.4
nitrous_oxide 44.013 0.141 309.6 72.45 0.274 97.4 184.7
hydrochloric_acid 36.461 0.132 324.7 83.10 0.249 81. 188.2
hydrogen_cyanide 27.026 0.410 456.7 53.90 0.197 139. 298.9
water 18.015 0.345 647.1 220.55 0.229 55.9 373.2
ammonia 17.031 0.253 405.7 112.80 0.242 72.5 239.7
nitric_acid 63.013 0.714 520.0 68.90 0.231 145. 356.2
sulfuric_acid 98.080 ... 924.0 64.00 0.147 177. 610.0
