z(angstrom),Df(Hz)
0,-5.66896146
0.021368652,-14.9946611
0.042737305,-14.55372967
0.064105957,-14.13484482
0.085474609,-14.17893796
0.106843262,-13.87028596
0.128211914,-14.46554339
0.149580566,-13.76005311
0.170949219,-14.15689139
0.192317871,-15.10489395
0.213686523,-13.16479568
0.235055176,-13.78209968
0.256423828,-12.12860683
0.27779248,-12.41521226
0.299161133,-12.54749169
0.320529785,-11.11446456
0.341898438,-12.6136314
0.36326709,-12.39316569
0.384635742,-11.37902341
0.406004395,-12.54749169
0.427373047,-11.81995484
0.448741699,-10.73967285
0.470110352,-9.460971714
0.491479004,-8.623202007
0.512847656,-9.92394971
0.534216309,-10.51920713
0.555584961,-8.86571429
0.576953613,-10.56330028
0.598322266,-9.416878572
0.619690918,-10.012136
0.64105957,-8.733434863
0.662428223,-7.741339157
0.683796875,-7.388594017
0.705165527,-7.07994202
0.72653418,-7.234268018
0.747902832,-7.43268716
0.769271484,-6.352405169
0.790640137,-8.424782866
0.812008789,-6.418544882
0.833377441,-6.264218884
0.854746094,-7.300407732
0.876114746,-5.49258889
0.897483398,-5.426449176
0.918852051,-6.19807917
0.940220703,-5.228030035
0.961589355,-5.470542319
0.982958008,-5.84533403
1.00432666,-5.823287459
1.025695313,-5.338262891
1.047063965,-5.117797179
1.068432617,-5.051657465
1.08980127,-6.109892885
1.111169922,-5.514635461
1.132538574,-5.13984375
1.153907227,-4.566632898
1.175275879,-4.720958896
1.196644531,-4.544586326
1.218013184,-4.78709861
1.239381836,-4.96347118
1.260750488,-4.302074043
1.282119141,-4.2579809
1.303487793,-4.280027471
1.324856445,-4.544586326
1.346225098,-4.390260328
1.36759375,-4.235934329
1.388962402,-4.037515188
1.410331055,-4.43435347
1.431699707,-4.368213756
1.453068359,-4.059561759
1.474437012,-4.037515188
1.495805664,-3.971375474
1.517174316,-4.103654901
1.538542969,-4.015468616
1.559911621,-3.927282331
1.581280273,-3.839096047
1.602648926,-3.839096047
1.624017578,-3.795002904
1.64538623,-3.883189189
1.666754883,-3.839096047
1.688123535,-3.795002904
1.709492188,-3.750909762
1.73086084,-3.795002904
1.752229492,-3.640676905
1.773598145,-3.530444049
1.794966797,-3.574537192
1.816335449,-3.486350907
1.837704102,-3.706816619
1.859072754,-3.530444049
1.880441406,-3.662723477
1.901810059,-3.530444049
1.923178711,-3.530444049
1.944547363,-3.442257764
1.965916016,-3.420211193
1.987284668,-3.574537192
2.00865332,-3.332024908
2.030021973,-3.243838623
2.051390625,-3.287931765
2.072759277,-3.309978337
2.09412793,-3.37611805
2.115496582,-3.332024908
2.136865234,-3.265885194
2.158233887,-3.155652338
2.179602539,-3.067466053
2.200971191,-3.265885194
2.222339844,-3.067466053
2.243708496,-3.111559195
2.265077148,-3.02337291
2.286445801,-3.089512624
2.307814453,-3.221792052
2.329183105,-3.02337291
2.350551758,-3.111559195
2.37192041,-3.045419482
2.393289063,-3.045419482
2.414657715,-3.001326339
2.436026367,-2.979279768
2.45739502,-3.067466053
2.478763672,-2.957233197
2.500132324,-2.84700034
2.521500977,-2.869046912
2.542869629,-2.891093483
2.564238281,-2.913140054
2.585606934,-2.935186625
2.606975586,-2.957233197
2.628344238,-2.780860627
2.649712891,-2.802907198
2.671081543,-2.802907198
2.692450195,-2.780860627
2.713818848,-2.714720913
2.7351875,-2.714720913
2.756556152,-2.758814055
2.777924805,-2.648581199
2.799293457,-2.714720913
2.820662109,-2.714720913
2.842030762,-2.648581199
2.863399414,-2.648581199
2.884768066,-2.582441486
2.906136719,-2.648581199
2.927505371,-2.582441486
2.948874023,-2.538348343
2.970242676,-2.582441486
2.991611328,-2.604488057
3.01297998,-2.538348343
3.034348633,-2.472208629
3.055717285,-2.560394914
3.077085937,-2.516301772
3.09845459,-2.582441486
3.119823242,-2.428115487
3.141191895,-2.494255201
3.162560547,-2.516301772
3.183929199,-2.450162058
3.205297852,-2.450162058
3.226666504,-2.494255201
3.248035156,-2.472208629
3.269403809,-2.450162058
3.290772461,-2.472208629
3.312141113,-2.317882631
3.333509766,-2.339929202
3.354878418,-2.428115487
3.37624707,-2.406068916
3.397615723,-2.361975773
3.418984375,-2.339929202
3.440353027,-2.251742917
3.46172168,-2.339929202
3.483090332,-2.317882631
3.504458984,-2.339929202
3.525827637,-2.384022344
3.547196289,-2.295836059
3.568564941,-2.295836059
3.589933594,-2.317882631
3.611302246,-2.251742917
3.632670898,-2.295836059
3.654039551,-2.251742917
3.675408203,-2.185603203
3.696776855,-2.229696346
3.718145508,-2.229696346
3.73951416,-2.207649774
3.760882813,-2.229696346
3.782251465,-2.141510061
3.803620117,-2.141510061
3.82498877,-2.163556632
3.846357422,-2.075370347
3.867726074,-2.075370347
3.889094727,-2.141510061
3.910463379,-2.009230633
3.931832031,-2.097416918
3.953200684,-2.031277204
3.974569336,-2.075370347
3.995937988,-2.075370347
4.017306641,-2.031277204
4.038675293,-2.075370347
4.060043945,-2.031277204
4.081412598,-2.031277204
4.10278125,-1.921044348
4.124149902,-2.009230633
4.145518555,-1.943090919
4.166887207,-1.921044348
4.188255859,-2.031277204
4.209624512,-1.987184062
4.230993164,-1.965137491
4.252361816,-1.965137491
4.273730469,-1.987184062
4.295099121,-1.943090919
4.316467773,-1.965137491
4.337836426,-1.965137491
4.359205078,-1.943090919
4.38057373,-1.921044348
4.401942383,-1.876951206
4.423311035,-1.854904634
4.444679688,-1.898997777
4.46604834,-1.854904634
4.487416992,-1.898997777
4.508785645,-1.898997777
4.530154297,-1.943090919
4.551522949,-1.810811492
4.572891602,-1.854904634
4.594260254,-1.832858063
4.615628906,-1.810811492
4.636997559,-1.810811492
4.658366211,-1.810811492
4.679734863,-1.810811492
4.701103516,-1.810811492
4.722472168,-1.788764921
4.74384082,-1.766718349
