# Category, Subcategory, ROI, Name, lat, lon_e, size_km, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), Special Requirements
# 1, 0, #FECCCC, Potential Cryovolcanic Regions, ---, ---, ---, ---, ---, ---, ---, Geologically young surface features of possible cryovolcanic origin, Understand the formation of surface features and search for past and present activity (GB/GD/GE), Best spatial resolution and SNR possible required to identify source of activity
1, 0, 1, Hammamat Patera, -24.3, 41.9, 45, -28, -20, 38, 45, Possible caldera in Nicholson Regio (Galileo SSI obs. 28GSCALDERA01/02), Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Best spatial resolution and SNR possible required to identify source of activity
1, 0, 2, Natrun/Rum Patera, -30.8, 177, 38, -32, -26, 173, 178, Possible caldera in Sippar Sulcus, Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Best spatial resolution and SNR possible required to identify source of activity
1, 0, 3, None, -30.9, 176.7, 37.5, -31, -26, 176, 181, Possible caldera in Sippar Sulcus (Galileo SSI obs. 28GSCALDERA01/02), Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Best spatial resolution and SNR possible required to identify source of activity
1, 0, 4, Musa Patera, -31.4, 171.5, 69, -34, -28, 167, 173, Possible caldera in Sippar Sulcus (Galileo SSI obs. 28GSCALDERA01 /02), Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Best spatial resolution and SNR possible required to identify source of activity
1, 0, 5, Yaroun Patera, -46.7, 217.9, 96, -50, -43, 214, 222, Possible caldera within extensively resurfaced part of Sippar Sulcus, Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Best spatial resolution and SNR possible required to identify source of activity
1, 0, 6, Hamra Patera, -77.4, 188.6, 43, -84, -70, 182, 196, Possible caldera and a central peak crater (in bright terrain), Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Located at high latitude
1, 0, 7, None, -28.3, 184.1, 40, -31, -25, 182, 186, Possible caldera NW of Osiris, Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Best spatial resolution possible required to observed source of activity
1, 0, 8, None, -28.8, 188.8, 50, -31, -26, 186, 191, Possible caldera NW of Osiris, Study composition (content of volatiles etc.) and geo context and subsurface of possible calderas and their association with very smooth terrain or large impacts, Best spatial resolution possible required to observed source of activity
1, 0, 9, None, 75.0, 345.0, 200, 73, 81, 330, 348, Very smooth extensively resurfaced bright terrain with possible lobes at eastern margin near impact crater Adapa only imaged by Voyager with poor spatial resolution, Investigation of potential cryovolcanism. Study geo context and possible association of its formation with very smooth terrain, Located at high latitude
1, 0, 10 , None, -7.9, 282.3, 60, -11, -5, 277, 283, Very smooth extensively resurfaced bright terrain with possible lobes, Investigation of potential cryovolcanism. Study geo context and possible association of its formation with very smooth terrain, Best spatial resolution possible required to observed source of activity
1, 0, 11 , None, 43.7, 52.2, 50, 42, 46.5, 47, 54, Potential flow features in the bright terrain north of Ta-Urt and E of crater Mont, Potential flow features in the bright terrain north of Ta-Urt and E of crater Mont, Best spatial resolution possible required to observed source of activity
# 2, 0, #699BFC, Polar Deposits, ---, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological characteristics are expected, Characterise the local environment and its interaction with the Jovian magnetosphere (GB/GC/GE), Illumination conditions in polar regions (>±40°)
2, 0, 1, Harakhtes, 35.95, 259.7, 108, 34, 46, 252, 268, Old impact craters with bright floor deposits in Galileo Regio, Transition to polar caps in the dark terrain + study influence of polar deposits onto local impact features, Incidence and phase angle < 70°
2, 0, 2, Xibalba Sulcus, 36, 280, 400, 25, 46, 270, 292, Bright terrain, Transition to polar caps in the bright terrain, Incidence and phase angle < 70°
2, 0, 3, Osiris, -38.0, 193.7, 107, -62, -24, 167, 212, Bright ray crater near transition to polar caps, Influence of transition to polar caps onto ejecta deposits, Incidence and phase angle < 70°
2, 0, 4, Ptah, -65.9, 142.9, 30, -80, -52, 125, 156, Bright ray crater near transition to polar caps, Influence of transition to polar caps onto ejecta deposits. Area of pronounced plasma precipitation, Incidence and phase angle < 70°
2, 0, 5, Tashmetum, -39.72, 95.5, 135, -53, -27, 75, 110, Bright ray crater near transition to polar caps, Influence of transition to polar caps onto ejecta deposits, Incidence and phase angle < 70°
2, 0, 6, Hershef, 47.39, 90.6, 120, 37, 56, 77, 102, Bright ray crater near transition to polar caps, Influence of transition to polar caps onto ejecta deposits, Incidence and phase angle < 70°
2, 0, 7, Galileo Regio, 44.9, 218.6, 700, 37, 57, 208, 229, Ancient dark surface material near the transition to the polar region, Influence of transition to polar caps onto dark ancient material. Thermal migration, Incidence and phase angle < 70°
2, 0, 8, None, 70, 60, 900, 56, 83, 42, 72, Poorly resolved bright terrain in the northern polar region, Open field lines and pronounced plasma precipitation, Incidence and phase angle < 70°
2, 0, 9, None, 75, 180, 900, 60, 85, 155, 187, Poorly resolved bright terrain in the northern polar region, Open field lines and pronounced plasma precipitation, Incidence and phase angle < 70°
2, 0, 10, None, 72.1, 293.3, 54, 60, 85, 295, 325, Poorly resolved bright terrain in the northern polar region around impact crater Neheh, Open field lines and pronounced plasma precipitation, Incidence and phase angle < 70°
2, 0, 11, None, -75, 360, 900, -85, -55, 340, 20, Poorly resolved bright terrain in the northern polar region, Open field lines and pronounced plasma precipitation, Incidence and phase angle < 70°
2, 0, 12, None, 75, 260, 900, 60, 85, 242, 275, Transition between dark and bright terrain in the northern polar region, Open field lines and pronounced plasma precipitation, Incidence and phase angle < 70°
# 3, 0, #9CFD6F, Dark Ray. Floor. Halo Craters, ---, ---, ---, ---, ---, ---, ---, High concentrations of dark material related to impact features, Determine global composition; distribution and evolution of surface materials (GB/GD/GE), Dark ray craters are usually very small – high spatial resolution required
3, 0, 1, Kittu, 0.0, 26, 15, -4, 6.5, 22, 27.5, Dark ray crater in the Mysia Sulci (G7GSKITTU observed by Galileo SSI and NIMS), Key feature of dark crater material, Dark ray craters are usually very small – high spatial resolution required
3, 0, 2, Tammuz, 13.5, 129.2, 51, 8, 19, 123, 136, Bright as well as dark ray crater in Marius Regio (Galileo NIMS observation G2GNTAMMUZ), Unknown origin of dark and bright ejecta. Which has not been Voyager ISS or Galileo SSI at medium or high resolution, Dark ray craters are usually very small – high spatial resolution required
3, 0, 3, Antum, 5.0, 141, 15, 1.9, 8.8, 136, 145, Dark ray crater in Marius Regio (Galileo NIMS observation G2GNANTUM), Key feature of dark material. Not imaged by Voyager ISS or Galileo SSI at medium or high resolution, Dark ray craters are usually very small – high spatial resolution required
3, 0, 4, Mir, -3.0, 130, 8, -7, -1, 124, 132, Dark ray crater in Marius Regio (Galileo NIMS observation G1GNMIRRAY), Key feature of dark material. Not imaged by Voyager or Galileo at medres or hires. Observed by Galileo NIMS, Dark ray craters are usually very small – high spatial resolution required
3, 0, 5, None, 5.0, 124, 177, 2.5, 10, 121, 132, Dark ray crater in Marius Regio close to Ombos close to the equator, Unknown origin of dark material. Not imaged by Voyager or Galileo at medres or hires., Dark ray craters are usually very small – high spatial resolution required
3, 0, 6, We-ila, -12.4, 69.6, 36, -17, -8, 65, 76, Possible dark impact crater with dark floor and rim, Unspecified origin of dark material. Not imaged by Voyager or Galileo at medres or hires, Dark ray craters are usually very small – high spatial resolution required
3, 0, 7, Khensu, 1.0, 207.1, 17, -1, 3, 205, 209, Small crater with dark floor and bright halo in Uruk Sulcus, Invetsigate origin of dark floor and bright halo, Dark ray craters are usually very small – high spatial resolution required
3, 0, 8, None, 21.5, 173.3, 10, 20, 23, 172, 175, Small crater with dark floor and bright halo in Mashu Sulcus, Investigate origin of dark floor, Dark ray craters are usually very small – high spatial resolution required
3, 0, 9, Humbaba, -55.2, 292.9, 40, -60, -48, 286, 296, Crater with dark floor and rim but bright halo, Investigate possible association of a small piece of dark terrain?, Dark ray craters are usually very small – high spatial resolution required
3, 0, 10, None, 31.7, 4, 30, 30, 34, 2, 6, Small dark floor crater but bright halo. Within very smooth bright terrain., Investigate origin of dark floor and bright halo, Dark ray craters are usually very small – high spatial resolution required
3, 0, 11, None, 4.0, 10.3, 10, 2, 6, 8, 13, Small dark floor crater but dark AND bright halo. Within bright terrain W of Kittu, Investigate origin of dark floor and bright halo, Dark ray craters are usually very small – high spatial resolution required
3, 0, 12, None, -29.0, 26, 10, -31, -27, 24, 28, One of the few dark floor craters in dark terrain. Close to Enkidu., Key feature to solve association of the dark crater material and the ancient dark terrain, Dark ray craters are usually very small – high spatial resolution required
3, 0, 13, None, -10.5, 284.8, 20, -14, -8, 282, 287, Small dark floor and dark halo crater in Babylon Sulci, Small dark floor and ejecta crater within bright terrain, Dark ray craters are usually very small – high spatial resolution required
3, 0, 14, None, 1.5, 261.5, 10, -0.5, 3.5, 259.5, 263.5, Small dark floor and dark halo crater in Babylon Sulci, Small completely dark impact feature within bright terrain, Dark ray craters are usually very small – high spatial resolution required
# 4, 0, #CB9CFC, Impact Crater Morphologies, ---, ---, ---, ---, ---, ---, ---, Widest variety of crater morphologies on icy bodies, Characterisation of the ice shell and study the formation of crater morphologies (GB/GD/GE),
# 4, 1, #CCCDFD, Central Peak Craters fresh impact craters with a central peaks, ---, ---, ---, ---, ---, ---, ---, Study subsurface properties related to peak formation, Central peak craters are generally very small - high spatial resolution required,
4, 1, 1, None, 56.0, 36.8, 20, 53, 59, 33, 41, Unnamed regular pedestal crater with central peak and dark ejecta within bright terrain, Located with extensive resurfaced bright terrain (+ origin of dubious dark ejecta), Central peak craters are generally very small - high spatial resolution required
4, 1, 2, Maa, 1.3, 156.4, 31, 0, 3, 155, 157, Pedestal crater with central peak in dark terrain of Marius Regio, Located at margin of bright (branch of Tiamat Sulcus) and dark (Marius Regio) terrain, Central peak craters are generally very small - high spatial resolution required
4, 1, 3, Adapa, 73.8, 328.7, 57, 70, 77, 321, 336, Central peak crater located within dark terrain, Study differences of the formation of central peak craters depending on substrate, Central peak craters are generally very small - high spatial resolution required
4, 1, 4, None, 70.1, 356.2, nan, 66, 74, 351, 2, Central peak crater located within bright terrain, Study differences of the formation of central peak craters depending on substrate, Central peak craters are generally very small - high spatial resolution required
# 4, 2, #CCCDFD, Central Pit Craters, ---, ---, ---, ---, ---, ---, ---, Fresh impact craters with a central pit, Study subsurface properties related to pit formation,
4, 2, 1, Ninlil, 6.3, 241.7, 91, 2, 12, 236, 250, Older central pit craters in Galileo Regio, Gelogical evolution of pit craters and subsurface structure in Regiones,
4, 2, 2, None, -12.4, 262.7, 65, -15, -9, 259, 266, Young fresh crater central pit craters (bright ejecta/rays) within bright terrain, Geological evolution of pit craters and subsurface structure in the bright terrain,
4, 2, 3, Lugalmeslam, 23.7, 166.1, 64, 19, 28, 156, 169, Unnamed pit crater located at the transition between bright and dark terrain and within a palimpsest, Changes in the impact crater morphology with substrate change,
4, 2, 4, Ashima, -39.1, 237.0, 84, -42, -36, 233, 240, Group of pit craters within bright terrain with Ashima showing the tranition to a central dome, Transition between central pit to central dome craters,
4, 2, 5, Kishar, 72.7, 10.54, 78, 67, 78, 4, 17, {it crater completely with the bright terrain, Geological evolution of pit craters and subsurface structure in the bright terrain,
4, 2, 6, Bau, 23.1, 311.3, 77, 18, 38, 298, 312, Group of pit craters including Bau in dark and bright terrain, Geological evolution of pit craters and subsurface structure in the dark and bright terrain,
4, 2, 7, None, 3.5, 175.5, 5, 2, 5, 174, 177, Possible pit crater, Geological evolution of pit craters and subsurface structure in the dark and bright terrain,
4, 2, 8, None, -32.0, 264.0, 600, -40, -24, 253, 271, Crater morphologies in bright terrain - several sizes, Geological evolution of pit craters and subsurface structure in the bright terrain,
# 4, 3, #CCCDFD, Dome / Anomaleous Dome Craters, ---, ---, ---, ---, ---, ---, ---, Fresh impact craters with a central dome, Study subsurface properties related to dome formation,
4, 3, 1, Melkart, -9.9, 173.9, 105, -15, -4, 168, 179, Dome crater at transition of bright and dark terrain with extended ejecta blanket, Type example of dome crater at the transition of bright and dark terrain. Previously observed by SSI and NIMS,
4, 3, 2, Enkidu, -26.6, 34.9, 122, -32, -19, 27, 39, Lies at a boundary of dt and br such as Melkart, Type example of dome crater at the transition of bright and dark terrain,
4, 3, 3, Hapi, -30.6, 147.3, 96, -34, -27, 143, 151, Dome crater with ejecta blanket at the transition between bright and dark terrain, Type example of dome crater at the transition of bright and dark terrain,
