tab 	measurements
analysts	aniso_type	citations	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_volume	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	measurement	method_codes	quality	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
		This study	121.7	-55.2	mn001-1a_LP-DIR-T		9.537000000000001e-09	9.537000000000002e-05	-2.864e-09	9.111e-11	0.004	4	0	LT-NO:LP-DIR-T	g	mn001-1a	u	0	0	0	0	0	273.0
		This study	119.8	-55.4	mn001-1a_LP-DIR-T		8.043999999999999e-09	8.044000000000001e-05	-2.268e-09	7.643e-11	0.004	4	1	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	1	373.0
		This study	112.5	-62.5	mn001-1a_LP-DIR-T		7.427e-09	7.427e-05	-1.314e-09	6.507e-11	0.004	4	2	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	2	423.0
		This study	116.7	-67.8	mn001-1a_LP-DIR-T		6.8460000000000006e-09	6.846e-05	-1.1640000000000001e-09	3.3780000000000005e-11	0.004	4	3	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	3	423.0
		This study	113.5	-68.6	mn001-1a_LP-DIR-T		6.117e-09	6.117e-05	-8.893e-10	1.917e-11	0.004	4	4	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	4	523.0
		This study	115.0	-72.2	mn001-1a_LP-DIR-T		6.0290000000000006e-09	6.029e-05	-7.786000000000001e-10	2.57e-11	0.004	4	5	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	5	573.0
		This study	106.9	-70.9	mn001-1a_LP-DIR-T		5.302e-09	5.3020000000000004e-05	-5.045e-10	1.847e-11	0.004	4	6	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	6	623.0
		This study	108.1	-69.8	mn001-1a_LP-DIR-T		5.045999999999999e-09	5.046e-05	-5.413e-10	1.466e-11	0.004	4	7	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	7	673.0
		This study	105.1	-74.8	mn001-1a_LP-DIR-T		4.767000000000001e-09	4.767e-05	-3.258e-10	4.922e-11	0.004	4	8	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	8	713.0
		This study	107.1	-73.4	mn001-1a_LP-DIR-T		4.298000000000001e-09	4.2980000000000005e-05	-3.6010000000000003e-10	7.27e-12	0.004	4	9	LT-T-Z:LP-DIR-T	g	mn001-1a	u	0	0	0	0	9	743.0
